Source,Target,OldType,NewType
HERITAGE_RESOURCE_GROUP.E27,EAMENA_ID.E42,P1,P48
PLACE.E53,ADMINISTRATIVE_SUBDIVISION.E48,P45,P87
CONDITION_ASSESSMENT.E14,ASSESSMENT_TYPE.E55,P35,P2
CULTURAL_PERIOD.E55,CULTURAL_PERIOD_CERTAINTY_TYPE.E55,P42,J5
PHASE_TYPE_ASSIGNMENT.E17,CULTURAL_PERIOD.E55,P42,J4
ASSESSOR_NAME_TYPE.E55,DATE_RESOURCE_ASSESSED.E49,P4,P78
TIME_SPAN_OF_DESIGNATION_OR_PROTECTION.E52,DESIGNATION_OR_PROTECTION_FROM_DATE.E49,P78,P82a
TIME_SPAN_OF_DESIGNATION_OR_PROTECTION.E52,DESIGNATION_OR_PROTECTION_TO_DATE.E49,P78,P82b
DISTURBANCE_CAUSE_STATE.E3,DISTURBANCE_CAUSE_CERTAINTY_TYPE.E55,P2,J5
DISTURBANCE_CAUSE_STATE.E3,DISTURBANCE_CAUSE_TYPE.E55,P2,J4
DISTURBANCE_STATE.E3,DISTURBANCE_DATE_END.E49,P78,P82b
DISTURBANCE_STATE.E3,DISTURBANCE_DATE_START.E49,P78,P82a
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_1_CERTAINTY_TYPE.E55,P2,J5
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_1_TYPE.E55,P2,J4
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_2_CERTAINTY_TYPE.E55,P2,J5
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_2_TYPE.E55,P2,J4
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_3_CERTAINTY_TYPE.E55,P2,J5
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_3_TYPE.E55,P2,J4
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_4_CERTAINTY_TYPE.E55,P2,J5
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_4_TYPE.E55,P2,J4
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_5_CERTAINTY_TYPE.E55,P2,J5
DISTURBANCE_EFFECT_STATE.E3,DISTURBANCE_EFFECT_5_TYPE.E55,P2,J4
FEATURE_EVIDENCE_ASSIGNMENT.E17,FEATURE_EVIDENCE_ARRANGEMENT_TYPE.E55,P2,P141
FEATURE_EVIDENCE_INTERPRETATION_ASSIGNMENT.E17,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE.E55,P2,J5
FEATURE_EVIDENCE_INTERPRETATION_ASSIGNMENT.E17,FEATURE_EVIDENCE_INTERPRETATION_TYPE.E55,P2,J4
FEATURE_EVIDENCE_ASSIGNMENT.E17,FEATURE_EVIDENCE_NUMBER_TYPE.E55,P2,P141
FEATURE_EVIDENCE_ASSIGNMENT.E17,FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE.E55,P2,J5
FEATURE_EVIDENCE_ASSIGNMENT.E17,FEATURE_EVIDENCE_TYPE.E55,P2,J4
TIME-SPAN_PHASE.E52,FROM_DATE.E49,P78,P82a
HERITAGE_RESOURCE_GROUP.E27,MEASUREMENT_TYPE.E55,P43,P2
PLACE.E53,MODERN_COUNTRY_TERRITORY.E55,P45,P87
SITE_FUNCTION_TYPE.E55,SITE_FUNCTION_CERTAINTY_TYPE.E55,P2,J5
HERITAGE_RESOURCE_GROUP.E27,SITE_FUNCTION_TYPE.E55,P2,J4
PLACE.E53,SITE_LOCATION_CERTAINTY_TYPE.E55,P2,O16
HERITAGE_RESOURCE_GROUP.E27,SITE_MORPHOLOGY_TYPE.E55,P2,P141
HERITAGE_RESOURCE_GROUP.E27,SITE_OVERALL_ARCHAEOLOGICAL_CERTAINTY_TYPE.E55,P2,O16
HERITAGE_RESOURCE_GROUP.E27,SITE_SIZE_CERTAINTY_TYPE.E55,P2,O16
PLACE.E53,SPATIAL_COORDINATES_GEOMETRY.E47,P87,-Q10
THREAT_CAUSE_STATE.E3,THREAT_CAUSE_CERTAINTY_TYPE.E55,P2,J5
THREAT_CAUSE_STATE.E3,THREAT_CAUSE_TYPE.E55,P2,J4
THREAT_TYPE_STATE.E3,THREAT_TYPE.E55,P2,J4
TIME-SPAN_PHASE.E52,TO_DATE.E49,P78,P82b
